"point_4326";"point_4326";"posicao"
"POINT(-43.2396522 -22.9207102)";"POINT(-4813416.06498225 -2622432.68968055)";130
"POINT(-43.2393791 -22.9211401)";"POINT(-4813385.66362931 -2622484.64842415)";131
"POINT(-43.2392898 -22.9212807)";"POINT(-4813375.72279879 -2622501.64171266)";132
"POINT(-43.2387941 -22.9220611)";"POINT(-4813320.5417272 -2622595.96324483)";133
"POINT(-43.2383555 -22.9227515)";"POINT(-4813271.71699854 -2622679.40755449)";134
"POINT(-43.2374494 -22.924178)";"POINT(-4813170.85040793 -2622851.82099255)";135
"POINT(-43.2371956 -22.9241728)";"POINT(-4813142.59752117 -2622851.19249302)";136
"POINT(-43.2365048 -22.9246452)";"POINT(-4813065.69801693 -2622908.28935654)";137
"POINT(-43.2364349 -22.9246915)";"POINT(-4813057.91678452 -2622913.88544003)";138
"POINT(-43.2363551 -22.9247442)";"POINT(-4813049.03348916 -2622920.25506655)";139
"POINT(-43.2363062 -22.9247802)";"POINT(-4813043.58996606 -2622924.60623599)";140
"POINT(-43.2358931 -22.9250934)";"POINT(-4812997.60388441 -2622962.46145894)";141
"POINT(-43.2351992 -22.9245892)";"POINT(-4812920.35928975 -2622901.52087798)";142
"POINT(-43.2344214 -22.9240387)";"POINT(-4812833.77498981 -2622834.98446537)";143
"POINT(-43.2327041 -22.9230635)";"POINT(-4812642.60602827 -2622717.11717343)";144
"POINT(-43.2308433 -22.9222164)";"POINT(-4812435.4627198 -2622614.73334289)";145
"POINT(-43.2304174 -22.9220778)";"POINT(-4812388.05174867 -2622597.98166387)";146
"POINT(-43.2301294 -22.921984)";"POINT(-4812355.99173533 -2622586.64467871)";147
"POINT(-43.2298531 -22.9218941)";"POINT(-4812325.23416002 -2622575.77906809)";148
"POINT(-43.2284156 -22.9212208)";"POINT(-4812165.21239201 -2622494.40203781)";149
"POINT(-43.2275329 -22.9207259)";"POINT(-4812066.95067748 -2622434.58721725)";150
"POINT(-43.2267764 -22.9201025)";"POINT(-4811982.73748269 -2622359.24188433)";151
"POINT(-43.2256895 -22.9192069)";"POINT(-4811861.74432815 -2622250.99853825)";152
"POINT(-43.2243699 -22.9181195)";"POINT(-4811714.8471281 -2622119.57496374)";153
"POINT(-43.2227688 -22.9168984)";"POINT(-4811536.61349139 -2621971.99361375)";154
"POINT(-43.2221112 -22.9163901)";"POINT(-4811463.40979425 -2621910.56119907)";155
"POINT(-43.2220069 -22.9163156)";"POINT(-4811451.79917135 -2621901.55725444)";156
"POINT(-43.221972 -22.9162835)";"POINT(-4811447.91412113 -2621897.67770399)";157
"POINT(-43.2212844 -22.9157017)";"POINT(-4811371.37083926 -2621827.36252198)";158
"POINT(-43.2207758 -22.9152621)";"POINT(-4811314.75374624 -2621774.23354718)";159
"POINT(-43.2201788 -22.9149149)";"POINT(-4811248.29601024 -2621732.27193091)";160
"POINT(-43.2201145 -22.9148783)";"POINT(-4811241.13816698 -2621727.84856403)";161
"POINT(-43.2200662 -22.9148508)";"POINT(-4811235.76143558 -2621724.52499681)";162
"POINT(-43.2193623 -22.9144504)";"POINT(-4811157.403646 -2621676.1339344)";163
"POINT(-43.2189025 -22.9142055)";"POINT(-4811106.21894414 -2621646.53617472)";164
"POINT(-43.2187599 -22.9141401)";"POINT(-4811090.34478475 -2621638.63216791)";165
"POINT(-43.218726 -22.9141223)";"POINT(-4811086.57105401 -2621636.48092513)";166
"POINT(-43.2169964 -22.9131732)";"POINT(-4810894.03286274 -2621521.77658563)";167
"POINT(-43.2169035 -22.9131188)";"POINT(-4810883.69128204 -2621515.20204873)";168
"POINT(-43.2168624 -22.9130947)";"POINT(-4810879.11605097 -2621512.28943305)";169
"POINT(-43.2168138 -22.9111979)";"POINT(-4810873.70592372 -2621283.05249147)";170
"POINT(-43.2168102 -22.9112533)";"POINT(-4810873.30517355 -2621289.74778897)";171
"POINT(-43.2168009 -22.9113342)";"POINT(-4810872.26990229 -2621299.52486191)";172
"POINT(-43.2167996 -22.9113968)";"POINT(-4810872.12518695 -2621307.09031419)";173
"POINT(-43.2167549 -22.9111596)";"POINT(-4810867.14920571 -2621278.42379461)";174
"POINT(-43.2167248 -22.9130141)";"POINT(-4810863.79848904 -2621502.54848974)";175
"POINT(-43.2167117 -22.911135)";"POINT(-4810862.34020371 -2621275.45079419)";176
"POINT(-43.2165589 -22.9110501)";"POINT(-4810845.33058552 -2621265.19032126)";177
"POINT(-43.2165223 -22.9109835)";"POINT(-4810841.25629215 -2621257.1414742)";178
"POINT(-43.2160077 -22.9107376)";"POINT(-4810783.97128219 -2621227.42361818)";179
"POINT(-43.2158711 -22.9106726)";"POINT(-4810768.76503975 -2621219.56815488)";180
"POINT(-43.2156758 -22.9106522)";"POINT(-4810747.0243432 -2621217.10274871)";181
"POINT(-43.2155335 -22.9106524)";"POINT(-4810731.18357965 -2621217.12691936)";182
"POINT(-43.215358 -22.9106658)";"POINT(-4810711.64700902 -2621218.74635278)";183
"POINT(-43.2149054 -22.9107536)";"POINT(-4810661.26380749 -2621229.35727126)";184
"POINT(-43.214031 -22.9109733)";"POINT(-4810563.92604474 -2621255.90876824)";185
"POINT(-43.2139037 -22.9109736)";"POINT(-4810549.75507356 -2621255.94502429)";186
"POINT(-43.2135255 -22.9109438)";"POINT(-4810507.65404214 -2621252.34358977)";187
"POINT(-43.212821 -22.9108402)";"POINT(-4810429.22946088 -2621239.82317253)";188
"POINT(-43.2126431 -22.9107863)";"POINT(-4810409.42572347 -2621233.30917546)";189
"POINT(-43.2125286 -22.9107332)";"POINT(-4810396.67964177 -2621226.89186362)";190
"POINT(-43.2123033 -22.9106027)";"POINT(-4810371.59936049 -2621211.1205147)";191
"POINT(-43.2112935 -22.910288)";"POINT(-4810259.18893869 -2621173.08805985)";192
"POINT(-43.2104613 -22.9100584)";"POINT(-4810166.54885845 -2621145.34025527)";193
"POINT(-43.210341 -22.9100141)";"POINT(-4810153.15712371 -2621139.98648131)";194
"POINT(-43.2100751 -22.9099611)";"POINT(-4810123.55727111 -2621133.58129128)";195
"POINT(-43.2097396 -22.9099296)";"POINT(-4810086.20958195 -2621129.77443425)";196
"POINT(-43.2094781 -22.9099136)";"POINT(-4810057.09953511 -2621127.84079292)";197
"POINT(-43.209191 -22.9099268)";"POINT(-4810025.1397093 -2621129.436047)";198
"POINT(-43.2088044 -22.9099635)";"POINT(-4809982.10359416 -2621133.87133757)";199
"POINT(-43.2079141 -22.9101344)";"POINT(-4809882.99585151 -2621154.52506343)";200
"POINT(-43.2077573 -22.9101557)";"POINT(-4809865.54095535 -2621157.09922769)";201
"POINT(-43.2074414 -22.9101761)";"POINT(-4809830.37512821 -2621159.56462483)";202
"POINT(-43.2071873 -22.9101303)";"POINT(-4809802.0888456 -2621154.02956707)";203
"POINT(-43.2061852 -22.9098507)";"POINT(-4809690.53558387 -2621120.23916765)";204
"POINT(-43.2060478 -22.9098068)";"POINT(-4809675.24028584 -2621114.93374289)";205
"POINT(-43.205658 -22.9096782)";"POINT(-4809631.84794833 -2621099.39212122)";206
"POINT(-43.2043919 -22.9092698)";"POINT(-4809490.90634103 -2621050.03608922)";207
"POINT(-43.2026333 -22.9086785)";"POINT(-4809295.13988453 -2620978.5764562)";208
"POINT(-43.2016945 -22.9083711)";"POINT(-4809190.63314657 -2620941.42675488)";209
"POINT(-43.2010915 -22.908211)";"POINT(-4809123.50749362 -2620922.07848902)";210
"POINT(-43.2008806 -22.9081429)";"POINT(-4809100.03021301 -2620913.84853401)";211
"POINT(-43.2007372 -22.9080966)";"POINT(-4809084.06699803 -2620908.25313378)";212
"POINT(-43.1995345 -22.940225)";"POINT(-4808950.18304645 -2624791.46130841)";213
"POINT(-43.1990873 -22.9401385)";"POINT(-4808900.40097017 -2624781.00522468)";214
"POINT(-43.1989163 -22.9075034)";"POINT(-4808881.36533724 -2620836.56450328)";215
"POINT(-43.1988718 -22.9074889)";"POINT(-4808876.41161991 -2620834.81217217)";216
"POINT(-43.1984974 -22.9403094)";"POINT(-4808834.73360255 -2624801.66355145)";217
"POINT(-43.1983036 -22.9403604)";"POINT(-4808813.15988524 -2624807.82841704)";218
"POINT(-43.1980651 -22.9072357)";"POINT(-4808786.61018668 -2620804.21287574)";219
"POINT(-43.197973 -22.9404399)";"POINT(-4808776.35766158 -2624817.4383592)";220
"POINT(-43.1973657 -22.9405733)";"POINT(-4808708.75333482 -2624833.56373395)";221
"POINT(-43.1971637 -22.9405358)";"POINT(-4808686.26679768 -2624829.0307372)";222
"POINT(-43.1970204 -22.9404414)";"POINT(-4808670.31471465 -2624817.61967892)";223
"POINT(-43.1966797 -22.9067913)";"POINT(-4808632.38816414 -2620750.50713974)";224
"POINT(-43.1962323 -22.9398205)";"POINT(-4808582.58382396 -2624742.56557548)";225
"POINT(-43.1961639 -22.9396961)";"POINT(-4808574.96957079 -2624727.52820268)";226
"POINT(-43.1960548 -22.9392672)";"POINT(-4808562.82461434 -2624675.68321867)";227
"POINT(-43.1959485 -22.9065563)";"POINT(-4808550.99135247 -2620722.107463)";228
"POINT(-43.195848 -22.9385744)";"POINT(-4808539.80374364 -2624591.93862525)";229
"POINT(-43.1957633 -22.9383959)";"POINT(-4808530.37498278 -2624570.36189051)";230
"POINT(-43.1956103 -22.938225)";"POINT(-4808513.34310068 -2624549.70385573)";231
"POINT(-43.195561 -22.9064513)";"POINT(-4808507.85504979 -2620709.41826165)";232
"POINT(-43.1954523 -22.938135)";"POINT(-4808495.75462114 -2624538.82485434)";233
"POINT(-43.1952765 -22.9381095)";"POINT(-4808476.18465466 -2624535.74247192)";234
"POINT(-43.1951104 -22.938132)";"POINT(-4808457.69448724 -2624538.46222108)";235
"POINT(-43.1946838 -22.9062335)";"POINT(-4808410.20559246 -2620683.09726388)";236
"POINT(-43.1945144 -22.9383884)";"POINT(-4808391.34807072 -2624569.45530564)";237
"POINT(-43.1943664 -22.9061353)";"POINT(-4808374.87278609 -2620671.22986733)";238
