"point_4326";"point_4326";"posicao"
"POINT(-43.2302366 -22.9185596)";"POINT(-4812367.92518474 -2622172.76548885)";138
"POINT(-43.2297529 -22.9178479)";"POINT(-4812314.07994704 -2622086.7494498)";139
"POINT(-43.2294619 -22.9174108)";"POINT(-4812281.68597522 -2622033.9217818)";140
"POINT(-43.2288543 -22.9165617)";"POINT(-4812214.04825261 -2621931.30050512)";141
"POINT(-43.2288266 -22.9165218)";"POINT(-4812210.96470272 -2621926.47825154)";142
"POINT(-43.2287336 -22.9163208)";"POINT(-4812200.61199008 -2621902.18571753)";143
"POINT(-43.2272103 -22.9163955)";"POINT(-4812031.03900975 -2621911.21383417)";144
"POINT(-43.22716 -22.9163998)";"POINT(-4812025.43963936 -2621911.73352511)";145
"POINT(-43.2269178 -22.9164203)";"POINT(-4811998.47805869 -2621914.21112165)";146
"POINT(-43.2266048 -22.9164627)";"POINT(-4811963.63505808 -2621919.33551765)";147
"POINT(-43.2257311 -22.9166565)";"POINT(-4811866.37521897 -2621942.75789524)";148
"POINT(-43.2253719 -22.9168354)";"POINT(-4811826.38925788 -2621964.37951089)";149
"POINT(-43.2251054 -22.9171619)";"POINT(-4811796.72261358 -2622003.83993947)";150
"POINT(-43.2250295 -22.9172701)";"POINT(-4811788.27346423 -2622016.91689267)";151
"POINT(-43.2243699 -22.9181195)";"POINT(-4811714.8471281 -2622119.57496374)";152
"POINT(-43.2238199 -22.9189691)";"POINT(-4811653.62140817 -2622222.25785038)";153
"POINT(-43.2231103 -22.9200013)";"POINT(-4811574.6290975 -2622347.01068878)";154
"POINT(-43.223051 -22.9200875)";"POINT(-4811568.02785169 -2622357.42895951)";155
"POINT(-43.2229861 -22.920182)";"POINT(-4811560.80321674 -2622368.85038922)";156
"POINT(-43.2229737 -22.9202)";"POINT(-4811559.42285506 -2622371.02590054)";157
"POINT(-43.2229693 -22.9202063)";"POINT(-4811558.9330493 -2622371.78732957)";158
"POINT(-43.2229407 -22.920248)";"POINT(-4811555.74931186 -2622376.82726548)";159
"POINT(-43.222845 -22.9203872)";"POINT(-4811545.09603659 -2622393.65123543)";160
"POINT(-43.22278 -22.9203966)";"POINT(-4811537.86026969 -2622394.78733747)";161
"POINT(-43.2226932 -22.9204021)";"POINT(-4811528.19773789 -2622395.45207806)";162
"POINT(-43.2226316 -22.9203968)";"POINT(-4811521.34045725 -2622394.81150985)";163
"POINT(-43.2225746 -22.920387)";"POINT(-4811514.99524628 -2622393.62706305)";164
"POINT(-43.2224317 -22.9202569)";"POINT(-4811499.08769105 -2622377.90293546)";165
"POINT(-43.2221679 -22.9199903)";"POINT(-4811469.72160938 -2622345.68121156)";166
"POINT(-43.2213699 -22.9192583)";"POINT(-4811380.88865572 -2622257.21078776)";167
"POINT(-43.221053 -22.9189981)";"POINT(-4811345.61150909 -2622225.76280962)";168
"POINT(-43.220835 -22.9188051)";"POINT(-4811321.3438601 -2622202.43671572)";169
"POINT(-43.2203901 -22.9184111)";"POINT(-4811271.81781864 -2622154.81774634)";170
"POINT(-43.2202989 -22.9183214)";"POINT(-4811261.66548108 -2622143.97659423)";171
"POINT(-43.22013 -22.9181245)";"POINT(-4811242.86361909 -2622120.17926321)";172
"POINT(-43.220086 -22.9180717)";"POINT(-4811237.96556149 -2622113.79786189)";173
"POINT(-43.220016 -22.9180104)";"POINT(-4811230.17319714 -2622106.38915476)";174
"POINT(-43.2199103 -22.9175205)";"POINT(-4811218.40672696 -2622047.18004806)";175
"POINT(-43.2198557 -22.9173672)";"POINT(-4811212.32868276 -2622028.65231889)";176
"POINT(-43.2197676 -22.9170633)";"POINT(-4811202.52143562 -2621991.9232426)";177
"POINT(-43.2197055 -22.9169309)";"POINT(-4811195.60849525 -2621975.92152534)";178
"POINT(-43.2196329 -22.9168369)";"POINT(-4811187.52670021 -2621964.56079902)";179
"POINT(-43.2195799 -22.9167991)";"POINT(-4811181.6267672 -2621959.99233895)";180
"POINT(-43.2195185 -22.9167671)";"POINT(-4811174.79175047 -2621956.12486052)";181
"POINT(-43.2194347 -22.9167346)";"POINT(-4811165.46317714 -2621952.19695368)";182
"POINT(-43.2194131 -22.9167263)";"POINT(-4811163.05867614 -2621951.19382685)";183
"POINT(-43.2193314 -22.9167159)";"POINT(-4811153.96387374 -2621949.93689694)";184
"POINT(-43.2184279 -22.9163954)";"POINT(-4811053.38671381 -2621911.20174834)";185
"POINT(-43.2183667 -22.9163737)";"POINT(-4811046.57396097 -2621908.57912224)";186
"POINT(-43.2182435 -22.9163299)";"POINT(-4811032.85939971 -2621903.28552799)";187
"POINT(-43.2170754 -22.9158251)";"POINT(-4810902.82710251 -2621842.27637345)";188
"POINT(-43.2168822 -22.9156769)";"POINT(-4810881.32017689 -2621824.36525039)";189
"POINT(-43.2167428 -22.9154595)";"POINT(-4810865.80223987 -2621798.09080435)";190
"POINT(-43.216471 -22.9150141)";"POINT(-4810835.54560227 -2621744.26095317)";191
"POINT(-43.2163522 -22.9148305)";"POINT(-4810822.32084677 -2621722.07160035)";192
"POINT(-43.2162257 -22.9145929)";"POINT(-4810808.23893118 -2621693.3560119)";193
"POINT(-43.2161726 -22.9144776)";"POINT(-4810802.32786622 -2621679.42123481)";194
"POINT(-43.2161519 -22.9143565)";"POINT(-4810800.02355276 -2621664.78550164)";195
"POINT(-43.2161206 -22.9141533)";"POINT(-4810796.5392527 -2621640.22747173)";196
"POINT(-43.2160603 -22.913883)";"POINT(-4810789.8266874 -2621607.56003132)";197
"POINT(-43.2160577 -22.9126044)";"POINT(-4810789.53725673 -2621453.03413173)";198
"POINT(-43.2160365 -22.9127367)";"POINT(-4810787.17728352 -2621469.0232527)";199
"POINT(-43.216025 -22.9127798)";"POINT(-4810785.89710938 -2621474.23210803)";200
"POINT(-43.2160099 -22.9128952)";"POINT(-4810784.21618507 -2621488.1787961)";201
"POINT(-43.2159661 -22.9134954)";"POINT(-4810779.34039137 -2621560.7162682)";202
"POINT(-43.2159632 -22.9131965)";"POINT(-4810779.01756485 -2621524.59251861)";203
"POINT(-43.2159568 -22.9133587)";"POINT(-4810778.30512011 -2621544.19529288)";204
"POINT(-43.2147341 -22.9117923)";"POINT(-4810642.19477872 -2621354.88810066)";205
"POINT(-43.2145228 -22.9116642)";"POINT(-4810618.67297031 -2621339.40667844)";206
"POINT(-43.2138643 -22.9112794)";"POINT(-4810545.36908562 -2621292.90207268)";207
"POINT(-43.2136998 -22.9111971)";"POINT(-4810527.05702939 -2621282.95580849)";208
"POINT(-43.213304 -22.9110104)";"POINT(-4810482.99677493 -2621260.39243447)";209
"POINT(-43.2131035 -22.9110029)";"POINT(-4810460.67721703 -2621259.48603284)";210
"POINT(-43.2124553 -22.9109576)";"POINT(-4810388.5199231 -2621254.01136808)";211
"POINT(-43.2120294 -22.910885)";"POINT(-4810341.10895197 -2621245.23740584)";212
"POINT(-43.2118346 -22.9108882)";"POINT(-4810319.42391516 -2621245.62413686)";213
"POINT(-43.2113035 -22.9109785)";"POINT(-4810260.3021336 -2621256.53720656)";214
"POINT(-43.210142 -22.9111625)";"POINT(-4810131.00454505 -2621278.77427031)";215
"POINT(-43.2097684 -22.9112205)";"POINT(-4810089.41558328 -2621285.78378579)";216
"POINT(-43.2094483 -22.9112314)";"POINT(-4810053.78221428 -2621287.10109162)";217
"POINT(-43.2089669 -22.9111883)";"POINT(-4810000.19301141 -2621281.89229579)";218
"POINT(-43.2087905 -22.9111522)";"POINT(-4809980.55625324 -2621277.52947735)";219
"POINT(-43.2083992 -22.9110379)";"POINT(-4809936.99693649 -2621263.71590753)";220
"POINT(-43.2078296 -22.9108634)";"POINT(-4809873.58935453 -2621242.6269717)";221
"POINT(-43.2069077 -22.9105582)";"POINT(-4809770.96391597 -2621205.74254861)";222
"POINT(-43.2065862 -22.9104519)";"POINT(-4809735.17469968 -2621192.89586374)";223
"POINT(-43.2060819 -22.9103306)";"POINT(-4809679.03628047 -2621178.23639462)";224
"POINT(-43.2058625 -22.9102741)";"POINT(-4809654.61278419 -2621171.40820449)";225
